2018-05-27 19:23:58,737 [Worker-3] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\ahoss1\Desktop\Workspace_new\Keywordguru\KeywordDrivenFramework\src\main\resources
2018-05-27 19:23:58,739 [Worker-3] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-05-27 19:23:58,740 [Worker-3] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\ahoss1\Desktop\Workspace_new\Keywordguru\KeywordDrivenFramework\src\test\resources
2018-05-27 19:25:51,387 [Worker-1] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is up-to-date. Trying to read.
2018-05-27 19:26:55,422 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-05-27 19:26:55,424 [Worker-7] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\ahoss1\Desktop\Workspace_new\Keywordguru\KeywordDrivenFramework\src\main\resources
2018-05-27 19:26:55,427 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-05-27 19:26:55,428 [Worker-7] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\ahoss1\Desktop\Workspace_new\Keywordguru\KeywordDrivenFramework\src\test\resources
2018-05-27 19:27:39,903 [Worker-10] INFO  o.e.m.i.launch.MavenLaunchDelegate - C:\Users\ahoss1\Desktop\Workspace_new\Keywordguru\KeywordDrivenFramework
2018-05-27 19:27:39,903 [Worker-10] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn -B clean
2018-05-27 19:27:41,947 [Worker-6] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-05-27 19:27:41,947 [Worker-6] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\ahoss1\Desktop\Workspace_new\Keywordguru\KeywordDrivenFramework\src\main\resources
2018-05-27 19:27:41,947 [Worker-6] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-05-27 19:27:41,947 [Worker-6] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\ahoss1\Desktop\Workspace_new\Keywordguru\KeywordDrivenFramework\src\test\resources
2018-05-27 19:27:48,306 [Worker-14] INFO  o.e.m.i.launch.MavenLaunchDelegate - C:\Users\ahoss1\Desktop\Workspace_new\Keywordguru\KeywordDrivenFramework
2018-05-27 19:27:48,306 [Worker-14] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn -B install
2018-05-27 19:27:51,746 [Worker-10] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-05-27 19:27:51,746 [Worker-10] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\ahoss1\Desktop\Workspace_new\Keywordguru\KeywordDrivenFramework\src\main\resources
2018-05-27 19:27:51,762 [Worker-10] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-05-27 19:27:51,762 [Worker-10] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\ahoss1\Desktop\Workspace_new\Keywordguru\KeywordDrivenFramework\src\test\resources
2018-05-27 21:39:02,487 [Worker-13] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-05-27 21:39:02,487 [Worker-13] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\ahoss1\Desktop\Workspace_new\Keywordguru\KeywordDrivenFramework\src\main\resources
2018-05-27 21:39:02,503 [Worker-13] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-05-27 21:39:02,503 [Worker-13] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\ahoss1\Desktop\Workspace_new\Keywordguru\KeywordDrivenFramework\src\test\resources
2018-05-27 21:39:37,500 [Worker-21] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-05-27 21:39:37,500 [Worker-21] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\ahoss1\Desktop\Workspace_new\Keywordguru\KeywordDrivenFramework\src\main\resources
2018-05-27 21:39:37,500 [Worker-21] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-05-27 21:39:37,500 [Worker-21] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\ahoss1\Desktop\Workspace_new\Keywordguru\KeywordDrivenFramework\src\test\resources
2018-05-27 21:40:25,198 [Worker-21] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update started
2018-05-27 21:40:25,777 [Worker-21] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: keyworddriven:keyworddriven:0.0.1-SNAPSHOT @ C:\Users\ahoss1\Desktop\Workspace_new\Keywordguru\KeywordDrivenFramework\pom.xml.
2018-05-27 21:40:26,436 [Worker-21] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /KeywordDrivenFramework/src/main/java
2018-05-27 21:40:26,436 [Worker-21] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /KeywordDrivenFramework/src/test/java
2018-05-27 21:40:26,623 [Worker-21] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update completed: 1 sec
2018-05-27 21:40:27,014 [Worker-21] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-05-27 21:40:27,014 [Worker-21] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\ahoss1\Desktop\Workspace_new\Keywordguru\KeywordDrivenFramework\src\main\resources
2018-05-27 21:40:27,014 [Worker-21] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-05-27 21:40:27,014 [Worker-21] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\ahoss1\Desktop\Workspace_new\Keywordguru\KeywordDrivenFramework\src\test\resources
2018-05-27 21:40:31,014 [Worker-6] INFO  o.e.m.i.launch.MavenLaunchDelegate - C:\Users\ahoss1\Desktop\Workspace_new\Keywordguru\KeywordDrivenFramework
2018-05-27 21:40:31,014 [Worker-6] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn -B clean
2018-05-27 21:40:32,776 [Worker-20] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-05-27 21:40:32,776 [Worker-20] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\ahoss1\Desktop\Workspace_new\Keywordguru\KeywordDrivenFramework\src\main\resources
2018-05-27 21:40:32,776 [Worker-20] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-05-27 21:40:32,776 [Worker-20] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\ahoss1\Desktop\Workspace_new\Keywordguru\KeywordDrivenFramework\src\test\resources
2018-05-27 21:40:38,814 [Worker-20] INFO  o.e.m.i.launch.MavenLaunchDelegate - C:\Users\ahoss1\Desktop\Workspace_new\Keywordguru\KeywordDrivenFramework
2018-05-27 21:40:38,814 [Worker-20] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn -B install
2018-05-27 21:40:41,201 [Worker-20] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-05-27 21:40:41,201 [Worker-20] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\ahoss1\Desktop\Workspace_new\Keywordguru\KeywordDrivenFramework\src\main\resources
2018-05-27 21:40:41,216 [Worker-20] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-05-27 21:40:41,216 [Worker-20] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\ahoss1\Desktop\Workspace_new\Keywordguru\KeywordDrivenFramework\src\test\resources
2018-05-27 21:42:31,294 [Worker-21] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-05-27 21:42:31,294 [Worker-21] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\ahoss1\Desktop\Workspace_new\Keywordguru\KeywordDrivenFramework\src\main\resources
2018-05-27 21:42:31,294 [Worker-21] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-05-27 21:42:31,309 [Worker-21] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\ahoss1\Desktop\Workspace_new\Keywordguru\KeywordDrivenFramework\src\test\resources
2018-05-27 21:43:23,705 [Worker-6] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-05-27 21:43:23,705 [Worker-6] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\ahoss1\Desktop\Workspace_new\Keywordguru\KeywordDrivenFramework\src\main\resources
2018-05-27 21:43:23,705 [Worker-6] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-05-27 21:43:23,705 [Worker-6] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\ahoss1\Desktop\Workspace_new\Keywordguru\KeywordDrivenFramework\src\test\resources
2018-05-27 21:43:36,619 [Worker-20] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update started
2018-05-27 21:43:37,056 [Worker-20] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: keyworddriven:keyworddriven:0.0.1-SNAPSHOT @ C:\Users\ahoss1\Desktop\Workspace_new\Keywordguru\KeywordDrivenFramework\pom.xml.
2018-05-27 21:43:37,619 [Worker-20] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /KeywordDrivenFramework/src/main/java
2018-05-27 21:43:37,619 [Worker-20] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /KeywordDrivenFramework/src/test/java
2018-05-27 21:43:37,770 [Worker-20] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update completed: 1 sec
2018-05-27 21:43:38,177 [Worker-13] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-05-27 21:43:38,192 [Worker-13] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\ahoss1\Desktop\Workspace_new\Keywordguru\KeywordDrivenFramework\src\main\resources
2018-05-27 21:43:38,192 [Worker-13] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-05-27 21:43:38,192 [Worker-13] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\ahoss1\Desktop\Workspace_new\Keywordguru\KeywordDrivenFramework\src\test\resources
